name,tailpipe_co2
MG ZS EV 51kWh SUV Auto (2022-2025),0
LDV eT60 eT60 4x2 Dual Cab Ute Utility Auto (2022-2025),0
BMW G26 i4 eDrive35 Sedan Auto (2022-2025),0
BMW G70 i7 xDrive60 Sedan Auto (2022-2025),0
Audi e-tron 55 quattro 20/21 Inch Wheel SUV (2022-2025),0
Audi e-tron 55 quattro 22 Inch Wheel SUV (2022-2025),0
Audi e-tron Sportback 55 quattro 20/21 Inch Wheel SUV (2022-2025),0
Audi e-tron Sportback 55 quattro 22 Inch Wheel SUV (2022-2025),0
Kia Niro EV SUV Auto (2022-2025),0
MG ZS EV SUV Auto (2022-2025),0
Mercedes-Benz EQS 53 AMG 4MATIC+ Wagon Auto (2022-2025),0
Mercedes-Benz EQB EQB 250  Wagon Auto (2022-2025),0
Mercedes-Benz EQB EQB 350 4MATIC Wagon Auto (2022-2025),0
Mercedes-Benz EQB EQB 350 4MATIC Wagon Auto (2022-2025),0
Mercedes-Benz EQV 300e Van Auto (2022-2025),0
Mercedes-Benz eVito Tourer MWB Van Van Auto (2022-2025),0
Nissan Leaf Hatch Auto (2022-2025),0
Nissan Leaf e+ Hatch Auto (2022-2025),0
Volvo C40 Recharge Twin Hatch Auto (2022-2023),0
Mercedes-Benz EQA Class EQA350 4MATIC Wagon Auto (2022-2025),0
Audi e-tron GT 20" Wheels Sedan Auto (2022-2025),0
Audi e-tron GT 21" Wheels Sedan Auto (2022-2025),0
Audi RS e-tron GT Sedan Auto (2022-2025),0
BMW 7 Series i7 xDrive60 Sedan Auto (2022-2025),0
Kia Niro Plus EV Wagon Auto (2022-2025),0
BYD ATTO 3 STANDARD Wagon (2022-2025),0
BYD ATTO 3 EXTENDED Wagon (2022-2025),0
Genesis GV60 AWD SUV Auto (2022-2025),0
Genesis G80 Electrified Sedan Auto (2022-2025),0
Genesis GV60 Performance AWD SUV Auto (2022-2025),0
Genesis GV70 Electrified SUV Auto (2022-2025),0
Volvo C40 Recharge Hatch (2022-2023),0
